Latitude,Longitude,Prices,Restuarant Name
37.8710823059082,-122.267944335938,1,Original Pollo
37.8687033929078,-122.258592533087,1,Cafe Milano
37.86802,-122.25957,1,Kip's Bar
37.8683,-122.26018,1,Sunrise Deli
37.8681831359863,-122.258262634277,2,Chang Luong
37.86821,-122.25803,1,Mandarin House
37.8681784847695,-122.257999964681,1,Pancho's Mexican Grill
37.86974,-122.2672,1,Cafe Panini
37.8680525,-122.258168,1,Sweetheart Cafe
37.873458576501,-122.26644752103,1,Yali's Oxford Street Cafe
37.86904,-122.26827,1,Tea Fever
37.86856,-122.26826,2,The Original
37.8687371260536,-122.258199617722,1,Ladle & Leaf
37.86827,-122.25935,100,Foley's Deli
37.8647260755003,-122.25833773613,1,Kathmandu Market and Deli
37.8677985,-122.2576189,1,Taco Bell
37.8681298970289,-122.258307339617,1,Cafe Durant
37.86818,-122.25826,1,Lotus House
37.8689273,-122.2682289,1,Papa John's Pizza
37.86838,-122.25888,2,The Organic Coup
37.87127,-122.2687,1,Jazz Caffe
37.86256,-122.2585,2,Le Bateau Ivre
37.8656,-122.26698,1,Royal Ground Coffee House
37.8694458007812,-122.269485473633,1,Lox Stock & Bagel
37.870827242732,-122.272991985083,1,Rainbow Ranch Cafe
37.86786,-122.266,2,Chez Trik
37.8662147521973,-122.268264770508,2,Extreme Pizza - Shattuck Ave.
37.86866,-122.25761,1,Julie's Cafe
37.86835,-122.25887,1,Chipotle Mexican Grill
37.8678818,-122.2568512,1,UCafe
37.86856,-122.26826,100,Mike's Diner
37.87038,-122.27033,1,Nuha's Cafe
37.873663,-122.26888,1,Berkeley Espresso
37.86996,-122.27055,100,Taco Truck
37.872317,-122.2687179,1,McDonald's
37.8698469,-122.2703536,1,K's Internet Cafe
37.8687597263416,-122.262510845178,100,The Pro Shop @ RSF
37.87225,-122.27013,100,Certified Fresh - Stand Up Comedy
37.87064,-122.26857,100,Famous Bao
37.87026,-122.26661,1,Cafe Rio
37.86873,-122.25921,1,The Little Dipper Chocolate Company
37.8677785,-122.2702105,100,The Mix Plus
37.8797404028451,-122.26899094044,2,Tigerlily Berkeley
37.8798356,-122.2694873,1,Cheese Board Pizza
37.8785970706384,-122.268645902327,2,Grégoire
37.879664,-122.26894,4,Chez Panisse
37.8755147371093,-122.259808405423,1,The Snack Shack
37.87981,-122.26889,2,Guacamole 61
37.8799888258134,-122.268409994017,2,Nico's 1508
37.8750551,-122.2689036,3,Corso
37.87537,-122.25976,1,MoMo
37.87959,-122.26886,3,Chez Panisse Cafe
37.87994,-122.2697,2,The Cheese Board
37.8764624711412,-122.269090678823,2,Taste of the Himalayas
37.87714,-122.269102,2,Cha-Ya
37.877052,-122.269053,2,Da Lian
37.8818319209494,-122.269697226584,2,Kamado Sushi
37.88178,-122.26982,2,Lo Coco's
37.87595,-122.26907,2,Agrodolce Osteria
37.878719329834,-122.26880645752,2,JotMahal Palace of Indian Cuisine
37.8756,-122.26044,2,Daily Pint
37.87515,-122.26896,1,Oriental Restaurant
37.87809,-122.26951,2,Barney's Gourmet Hamburgers
37.8751353,-122.2601139,1,Pizzahhh
37.879644,-122.269032,2,César
37.87981,-122.2689,2,Epicurious Garden
37.876354,-122.269256,1,Karma Kitchen
37.8803132,-122.2698671,2,Mission Heirloom
37.873992742077,-122.268849313259,2,sweetgreen
37.87859,-122.26878,2,Dara Thai Lao Cuisine
37.8798836604033,-122.269455248543,2,Lou Lou Pop Up
37.88071,-122.26892,2,Saul's Restaurant & Delicatessen
37.87822391693,-122.2696352005,2,The Local Butcher Shop
37.8754131291606,-122.260336317122,1,Abe's Cafe
37.87534,-122.25997,1,Zak's Snacks
37.8745171305539,-122.268490782922,2,Brazil Cafe Bistro
37.8753699,-122.25976,1,Aki Japanese Restaurant
37.8782181375896,-122.269277513503,2,Crepevine Restaurant
37.87585,-122.26007,1,Jasmine Thai
37.87568,-122.26004,1,The Stuffed Inn
37.8763542175293,-122.269256591797,2,Thai Delight Cuisine
37.8752046078444,-122.259823009372,1,T C Garden Restaurant
37.87526,-122.26049,1,Urbann Turbann
37.8755231201649,-122.260284349322,1,Nefeli Caffe
37.87558,-122.25998,2,Celia's Mexican Restaurant
37.8752046078444,-122.259823009372,1,Camille
37.88012,-122.26862,2,Juice Bar Collective
37.87526,-122.26049,1,Dyar Mediterranean Cuisine
37.8808670043945,-122.268943786621,2,Toyo Japanese Restaurant
37.8756619244814,-122.260311841965,1,La Val's Pizza
37.8768514841795,-122.268801033497,2,Poulet
37.87556,-122.26044,1,La Burrita
37.8757980465889,-122.26032525301,1,Hummingbird Cafe
37.87981,-122.26889,2,Imperial Tea Court
37.87558,-122.25998,1,Bongo Burger
37.87981,-122.26889,2,Kirala 2 Japanese Cuisine
37.8751730657207,-122.260311186624,1,Northside Cafe
37.88155,-122.27433,2,Fat Apple's Restaurant & Bakery
37.8752509,-122.2689199,2,Party Sushi
37.8791389465332,-122.266716003418,100,Tacos Torres
37.87551390518,-122.259083314467,1,V&A Cafe
37.877924,-122.2693152,2,Guerilla Cafe
37.87981,-122.26889,1,Soop
37.8733141647778,-122.264895737171,1,Pat Brown's Grill
37.875245,-122.259747,100,Hearst Food Court
37.87501,-122.26894,1,Fertile Grounds Cafe
37.88246,-122.27409,1,Rose & Grove Market
37.8686158247621,-122.292174473405,2,La Marcha Tapas Bar
37.8606764227152,-122.289570048451,2,Longbranch
37.87154,-122.29259,1,Casa Latina
37.86843,-122.29153,2,Mister Bolenca
37.8776385324438,-122.295125238597,1,Super Super Restaurant
37.86752,-122.29124,2,Gaumenkitzel
37.86828,-122.29249,2,El Patio
37.86894,-122.29163,2,La Capilla
37.8609809875488,-122.289154052734,2,Le Pho
37.8698395883553,-122.287912028045,1,La Mission
37.8683240308182,-122.291685471675,2,Luca Cucina Italiana
37.869142,-122.293059,1,Kabana Restaurant
37.8721536,-122.2931977,1,Cafe Karla
37.87007,-122.28317,1,Taqueria Monte Cristo
37.8684079,-122.292166,1,Middle East Market
37.8700153010474,-122.287308003204,2,Nine Thai Eatery
37.86181,-122.29021,2,Smoke Berkeley
37.86038,-122.28974,2,Paisan
37.8697299,-122.29192,2,Everett & Jones
37.8704021,-122.2834959,2,Bangkok Thai Cuisine
37.86227,-122.28144,1,Mim Thai Cuisine
37.85911,-122.28932,1,Missouri Lounge
37.8702981,-122.2840615,2,Pizza Moda
37.85343,-122.27873,2,Kaffa Ethiopian Cuisine
37.8784484863281,-122.294784545898,2,Stella Nonna
37.870030791404,-122.284309866667,1,Zazzi Foods
37.8572599,-122.28793,2,Nordic House
37.8562,-122.27995,2,Bootstrapper
37.8751914023113,-122.294136209787,2,Mountain Mike's Pizza
37.8557,-122.28823,1,Vital Vittles
37.850557,-122.278723,2,Moxy Beer Garden
37.86963,-122.29015,2,Eat At Thai
37.86435,-122.29014,1,Alfonso's Cafe
37.868592,-122.291781,2,Lanesplitter Pizza & Pub
37.86243,-122.28082,2,Mehak Indian Cuisine
37.87957,-122.29515,1,La Palmita Cafe
37.8911548,-122.2854571,1,Taqueria Talavera
37.86811,-122.29223,1,Mi Tierra Foods
37.86615,-122.29152,1,Gallego's
37.86172,-122.2805,1,Mo' Joe Cafe
37.86231009489,-122.28137681093,2,Homemade Cafe
37.8653797819146,-122.291163054991,1,Quince Cafe & Grill
37.86968,-122.28979,1,Fosters Freeze
37.87503,-122.2937,2,Bartavelle Coffee & Wine Bar
37.86994,-122.29279,1,Indus Village Restaurant
37.880404,-122.295423,1,Tea Fragrance House
37.8623559,-122.2814164,2,Breads of India
37.85676,-122.2878,1,Broom Bush Cafe
37.8508458615426,-122.286152344117,1,The Deli & Grill
37.868106,-122.292236,2,Priya Indian Cuisine
37.87251,-122.29365,2,Café Leila
37.8667064231024,-122.25891993651,1,Gordo Taqueria
37.8693197,-122.2917594,1,Little Caesars Pizza
37.8684299,-122.29153,2,Crosta Panini Bar
37.86076,-122.28983,2,Caffe on San Pablo
37.86669,-122.2909,1,Jack In The Box
37.8719007,-122.2927238,1,Popeyes Louisiana Kitchen
37.86943,-122.29182,1,Subway
37.8487361392759,-122.272188998759,1,Easy Creole
37.8708412,-122.2805067,2,Himalayan Flavors
37.8499242,-122.2706275,1,The Fat Fish
37.85385,-122.26895,1,Flacos
37.870588,-122.279272,2,Animal Place's Vegan Republic
37.8502904420959,-122.271161042154,2,Lemat
37.8713898,-122.2766809,1,Long Life Vegi House
37.8491128707654,-122.27161064744,1,Giin Thai Canteen
37.8535933792591,-122.269351556897,1,Zing Cafe
37.870816,-122.277301,1,Maya Cafe
37.8543603,-122.2703758,2,Nunu's Desserts
37.8501035356718,-122.271222397685,1,The Rec Room
37.8709110617638,-122.277227193117,1,West Coast Pizza
37.8488264,-122.271513,2,"44 Restaurant, Bar & Lounge"
37.8524741,-122.2738958,100,Squabisch
37.87097,-122.27493,1,Nation's Giant Hamburgers & Great Pies
37.8511567,-122.2708771,1,Yummy Hot Dog Cart
37.84949,-122.27163,2,Vault Cafe
