Latitude,Longitude,Prices,Rating,Restaurant Name,Review Count,Student Location?
37.86838,-122.25888,2,3.0,The Organic Coup,65,True
37.8706461097353,-122.268250845373,1,3.0,Seasons of Japan,182,True
37.8720052,-122.2700242,1,3.5,El Burro Picante,400,True
37.86923,-122.254275,2,3.0,Free House,221,True
37.86821,-122.25803,1,3.5,Cal Gyro Mediterranean,125,True
37.86821,-122.25803,1,3.5,Steve's Bar-B-Que,435,True
37.86672,-122.25906,1,3.5,Chinese Express,140,True
37.86448,-122.25822,1,3.5,Pho K & K,340,True
37.87103,-122.26735,1,4.0,Sandwich Zone,138,True
37.86873,-122.26747,2,3.0,BurgerMeister,479,True
37.86763,-122.25812,1,4.0,D-HUB,3,True
37.8728107362986,-122.26850733161,2,3.0,Kaze Ramen,355,True
37.8679699,-122.2648928,1,4.0,Cafe Blue Door,117,True
37.86391,-122.25894,2,3.0,Fondue Fred,271,True
37.8726844787598,-122.266632080078,2,3.5,Pedro's Brazil Cafe,84,True
37.87023,-122.26643,2,3.5,C U Sushi,581,True
37.8681831359863,-122.258262634277,1,3.5,Kimchi Garden,287,True
37.8702422,-122.2660694,2,3.5,The Sunny Side Café,389,True
37.8679286509477,-122.257434673931,1,3.5,La Burrita,525,True
37.86256,-122.2585,2,3.5,Le Bateau Ivre,446,True
37.87029,-122.26643,1,3.5,Bongo Burger,216,True
37.8710250854492,-122.267349243164,1,3.5,Arinell Pizza,527,True
37.86766,-122.25786,1,3.5,House of Curries,557,True
37.8706855,-122.2680736,1,3.0,Little Hunan,118,True
37.8721905,-122.2669629,2,3.5,The Tandoori Nite,176,True
37.8703370690346,-122.267539054155,1,3.5,Oasis Grill,215,True
37.8705271,-122.2663488,1,4.0,Top Dog,350,True
37.8679599,-122.26737,1,3.5,Little Plearn Thai Kitchen,169,True
37.87201,-122.26727,1,4.0,Lucky House Thai,412,True
37.8677985,-122.2576189,1,3.0,Taco Bell,61,True
37.87144,-122.26742,1,3.5,Momo Island,41,True
37.872317,-122.2687179,1,2.0,McDonald's,198,True
